0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
28.4,d_20030301,36.4,29.3,11.8,1.9,0,0,35.3,21.6,4.2,1.1,0.1
20.6,d_20030401,35.8,29.1,11.8,2.1,0,0,43.5,28.9,6.4,1.5,0.1
26.9,d_20030501,33.8,18.6,0.5,0,0,0,39.3,29.2,10,4.9,1.2
45.3,d_20030601,41.3,31.6,12.4,3.3,0.2,0,13.5,4.8,0.3,0,0
23.8,d_20030701,75,60,30.9,10.3,0.5,0,1.2,0.2,0,0,0
23.5,d_20030801,75.3,58.3,26,8.4,0.2,0,1.1,0,0,0,0
25,d_20030901,70.3,52.4,19.8,5.5,0.2,0,4.7,1.8,0,0,0
27,d_20031001,70.1,52.2,18.4,4,0,0,3,0.7,0,0,0
51.2,d_20031101,42.1,23.3,3.7,0.2,0,0,6.8,3.7,0,0,0
49.2,d_20031201,43.8,24.8,4.6,0.6,0,0,7.1,2.7,0,0,0
42.5,d_20040101,50.1,36,12.7,2.9,0.1,0,7.4,2.5,0,0,0
32,d_20040201,61.7,48.5,19.4,8.1,1.5,0,6.2,3.6,0,0,0
31.5,d_20040301,45.7,31.5,4.8,0.3,0,0,22.8,10.9,2.3,0.2,0
41.3,d_20040401,38.4,29.2,11.8,1.9,0,0,20.2,5.8,0,0,0
21.1,d_20040501,0,0,0,0,0,0,78.9,63.1,37.9,27.6,16.1
20.9,d_20040601,0.6,0,0,0,0,0,78.5,66.9,49.8,42.5,32.9
25.8,d_20040701,0,0,0,0,0,0,74.2,64.3,51.8,43.8,36.2
35,d_20040801,0.4,0,0,0,0,0,64.7,53.7,36.9,27.6,11.9
47,d_20040901,1.2,0,0,0,0,0,51.7,34.3,12,4.2,0.7
25.7,d_20041001,0.1,0,0,0,0,0,74.3,50.4,15.3,5.4,0.9
42.4,d_20041101,0.6,0.1,0,0,0,0,57.1,37.4,13,4.3,0.4
53.6,d_20041201,2.7,0.3,0,0,0,0,43.9,25.5,5.8,1.1,0
42.9,d_20050101,2.7,1.1,0.1,0,0,0,54.5,40.9,18.6,6.8,0.7
81.3,d_20050201,13,4.1,0.3,0,0,0,5.7,1.7,0.3,0,0
48.7,d_20050301,45.7,10.8,0,0,0,0,5.6,1.1,0,0,0
45.7,d_20050401,52.9,29.8,0.3,0,0,0,1.5,0.4,0,0,0
42.5,d_20050501,56.3,35.6,6.2,0.3,0,0,1.1,0,0,0,0
71.2,d_20050601,27.5,11.7,1,0,0,0,1.2,0,0,0,0
23.8,d_20050701,76.1,56.7,18.2,2.9,0,0,0,0,0,0,0
18.9,d_20050801,80.8,61.6,31,14.7,1.1,0,0.4,0,0,0,0
17.7,d_20050901,79.6,61.5,29.4,12.2,0.7,0,2.8,0.6,0,0,0
